county,fips,year,sex,All,mage_bothsexes,age04,age59,age1014,age1519,age2024,age2529,age3034,age3539,age4044,age4549,age5054,age5559,age6064,age6569,age7074,age7579,age8084,age8589,age9094,age9599,age100104,source
California,1,1970,m,9918901,27.59740252,821086,956756,977762,962860,1016572,746927,628538,590406,590794,597542,517983,439308,354127,271274,196891,130293,76551,28520,8371,1665,4675,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
California,1,1970,w,10119385,,801420,937430,959683,892815,879075,737468,613894,580040,616118,635154,549091,476546,401972,338091,278361,205083,130718,58282,18883,4424,4837,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Alameda County,6001,1970,m,531922,27.33266517,41998,48658,48542,48219,67068,45247,33958,29936,29749,31462,27660,23282,18888,13710,9863,6657,4358,1756,518,105,288,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Alameda County,6001,1970,w,541063,,41006,47576,47486,45828,56011,42480,32363,29013,31763,33512,29332,25638,21118,17587,15070,11660,8001,3784,1229,292,314,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Alpine County,6003,1970,m,258,31.9,19,27,24,21,12,19,23,17,8,20,23,15,13,7,5,4,0,1,0,0,0,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Alpine County,6003,1970,w,248,,11,26,30,19,10,19,21,10,19,11,21,22,7,6,8,2,2,4,0,0,0,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Amador County,6005,1970,m,6302,33.06140351,378,452,499,1130,458,313,285,266,313,357,373,368,343,313,205,134,69,31,9,1,5,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Amador County,6005,1970,w,5598,,343,467,503,436,284,323,299,244,311,408,371,435,367,268,213,138,106,57,17,4,4,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Butte County,6007,1970,m,49471,29.95108184,3309,4445,4692,5289,4740,2933,2457,2260,2477,2548,2701,2598,2498,2339,1788,1255,759,253,75,13,42,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Butte County,6007,1970,w,53059,,3341,4356,4508,5171,5126,3407,2529,2470,2650,3098,2983,2907,2739,2472,2074,1574,972,464,146,34,38,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Calaveras County,6009,1970,m,7098,37.45806452,405,527,738,651,412,372,384,355,413,428,412,465,458,443,295,195,90,38,10,1,6,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Calaveras County,6009,1970,w,6618,,409,535,578,484,345,353,334,366,394,424,460,466,517,356,234,172,105,59,18,4,5,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Colusa County,6011,1970,m,6236,30.4057971,455,572,702,576,446,353,318,345,369,345,410,368,299,274,160,136,66,28,8,1,5,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Colusa County,6011,1970,w,6136,,465,594,623,578,392,374,344,334,343,379,385,325,269,229,186,134,117,45,14,3,3,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Contra Costa County,6013,1970,m,275462,27.43056567,22707,28976,30337,27313,22635,18667,17168,16785,17794,18912,16037,12973,9261,6213,4290,2864,1604,612,180,34,100,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Contra Costa County,6013,1970,w,282022,,22617,28377,30183,26069,20544,19715,17783,17295,18897,20029,16365,12765,9626,7369,5801,4234,2637,1158,375,88,95,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Del Norte County,6015,1970,m,7245,29.17647059,552,751,812,677,494,387,395,402,446,451,437,398,338,321,177,126,52,19,6,0,4,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Del Norte County,6015,1970,w,7345,,608,736,882,645,455,450,440,445,415,448,425,390,333,263,176,119,63,35,12,2,3,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
El Dorado County,6017,1970,m,21972,31.32109228,1487,2053,2303,1965,1616,1351,1329,1346,1409,1384,1352,1213,1107,839,645,329,173,46,13,4,8,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
El Dorado County,6017,1970,w,22137,,1374,2022,2346,1953,1480,1371,1409,1360,1434,1525,1374,1252,1080,857,606,350,209,93,28,7,7,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Fresno County,6019,1970,m,202187,25.90134753,17822,21370,22324,21930,18060,12986,10968,10610,11264,11703,10440,9154,7454,5829,4208,3010,1935,737,218,44,121,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Fresno County,6019,1970,w,211643,,17155,21107,21761,21151,18817,14046,11667,11669,12637,12569,10959,9458,8096,6630,5420,4096,2643,1190,385,89,98,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Glenn County,6021,1970,m,8718,31.72375691,618,824,947,874,586,478,436,468,527,501,508,528,429,380,256,199,104,36,11,2,6,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Glenn County,6021,1970,w,8792,,593,806,915,800,486,512,453,492,520,538,524,534,450,384,307,241,146,61,20,5,5,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
Humboldt County,6023,1970,m,50091,26.79312813,3709,4969,5279,5472,4533,3354,2955,2700,2926,2905,2703,2512,2040,1623,1064,693,401,166,49,10,28,"Source: California Department of Finance, Demographic Research Unit, Annual Intercensal Estimates, accessed March 2020"
